iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,22,0.15047951313405622,23.0,14.0
2,50,22,0.2043787436641031,23.5,14.0
3,55,27,0.21513785658115853,23.0,14.0
4,60,31,0.21931803579816703,23.0,14.0
5,65,36,0.22410582532742856,23.0,14.0
6,70,40,0.24008587687579427,23.0,14.0
7,75,43,0.25179423357412545,22.0,14.0
8,80,48,0.25254301562967796,22.5,14.0
9,85,48,0.25697495040106694,23.5,14.0
10,90,53,0.2574958430973711,22.0,14.0
11,95,58,0.2592740834275171,23.5,14.0
12,100,62,0.2593691701324512,22.5,14.0
13,105,65,0.2659402455246095,23.0,14.0
14,110,70,0.2662349666134987,23.0,14.0
15,115,70,0.28622287122218515,23.0,14.0
16,120,73,0.2870647695235025,23.0,14.0
17,125,76,0.2888788985210706,23.0,14.0
18,130,80,0.3065392634016361,23.0,14.0
19,135,83,0.3315564234481323,24.0,14.0
20,140,88,0.33216855563060665,23.0,14.0
21,145,90,0.3326168510954521,23.0,14.0
22,150,93,0.3331533252795552,23.0,14.0
23,155,96,0.3358527088468801,23.0,14.0
24,160,99,0.3736462574228466,23.0,14.0
25,165,104,0.37646637940976685,23.5,14.0
26,170,107,0.376834870315309,24.0,14.0
27,175,110,0.38126695718241443,24.0,14.0
28,180,113,0.38168347428911037,24.0,14.0
29,185,115,0.3826194667902657,24.0,14.0
30,190,118,0.3832057188183444,23.5,14.0
31,195,122,0.3835150565490589,23.0,14.0
32,200,121,0.3862604960881467,23.0,14.0
33,205,124,0.38647153917798605,23.0,14.0
34,210,128,0.3865473764545577,23.0,14.0
35,215,131,0.3866676678107509,23.0,14.0
36,220,134,0.3870817375517955,23.0,14.0
37,225,137,0.39323194409702567,23.0,14.0
38,230,139,0.3933167935187668,23.0,14.0
39,235,142,0.39370442259841654,23.0,14.0
40,240,147,0.39466822709581606,23.0,14.0
41,245,147,0.3975394642969534,23.0,14.0
42,250,151,0.39795519553972314,23.0,14.0
43,255,154,0.39796732254930145,22.5,14.0
44,260,158,0.4015791652216777,23.0,14.0
45,265,161,0.4015837288419816,22.0,14.0
46,270,163,0.40186241569430686,23.0,14.0
47,275,165,0.4028070530926342,23.0,14.0
48,280,167,0.40283629236392776,23.0,14.0
49,285,168,0.40283629236392776,23.0,14.0
50,290,169,0.4028372789491858,23.0,14.0
