SMILES,PfDHFR_studio,PfDHFR_local_run1,PfDHFR_local_run2,PfDHFR_local_vs_local,PfDHFR_local_vs_studio,hDHFR_studio,hDHFR_local_run1,hDHFR_local_run2,hDHFR_local_vs_local,hDHFR_local_vs_studio
COc1ccc2c(c1)CCCC1NC(=O)OC21,-6.955,-6.935,-6.935,0.0,0.0200000000000004,-6.944,-6.834,-6.834,0.0,0.1100000000000003
Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,-9.249,-9.21,-9.21,0.0,0.0389999999999997,-9.091,-9.089,-9.089,0.0,0.0019999999999988
NOC(c1ccccc1)c1ccccc1F,-7.903,-7.903,-7.903,0.0,0.0,-8.342,-8.352,-8.352,0.0,0.0099999999999997
Clc1ccc2c(N/N=C/c3ccc4c(c3)OCO4)ccnc2c1,-9.497,-9.421,-9.421,0.0,0.0760000000000005,-10.13,-10.11,-10.11,0.0,0.0200000000000013
O=C(COC(=O)CCC(=O)c1cccs1)Nc1cccc(F)c1,-7.736,-7.553,-7.553,0.0,0.1829999999999998,-7.878,-8.029,-8.029,0.0,0.1509999999999998
NCCCN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC1CC1,-7.038,-7.65,-7.65,0.0,0.6120000000000001,-8.021,-8.462,-8.462,0.0,0.4409999999999989
CC(=O)c1c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)nn(CCN)c1=O,-6.568,-6.526,-6.526,0.0,0.0419999999999998,-7.232,-7.194,-7.194,0.0,0.0380000000000002
O=C1OCc2cc(-c3ccc(-c4cccc(O)c4)s3)ccc21,-8.956,-8.99,-8.99,0.0,0.0340000000000006,-7.889,-7.902,-7.902,0.0,0.0129999999999999
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(S(C)(=O)=O)cc3)c2)cc1,-8.382,-8.759,-8.759,0.0,0.3770000000000006,-7.172,-7.163,-7.163,0.0,0.0089999999999994
NC(=O)c1ccc(O)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,-9.51,-9.482,-9.482,0.0,0.0280000000000004,-9.014,-8.961,-8.961,0.0,0.052999999999999
