SMILES,PfDHFR_stored,PfDHFR_redocked,PfDHFR_abs_diff,PfDHFR_seconds,hDHFR_stored,hDHFR_redocked,hDHFR_abs_diff,hDHFR_seconds
COc1ccc2c(c1)CCCC1NC(=O)OC21,-6.955,-6.935,0.020000000000000462,2.0,-6.944,-6.834,0.11000000000000032,1.9
Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,-9.249,-9.21,0.0389999999999997,1.9,-9.091,-9.089,0.0019999999999988916,1.9
NOC(c1ccccc1)c1ccccc1F,-7.903,-7.903,0.0,1.2,-8.342,-8.352,0.009999999999999787,1.3
Clc1ccc2c(N/N=C/c3ccc4c(c3)OCO4)ccnc2c1,-9.497,-9.421,0.07600000000000051,1.5,-10.13,-10.11,0.02000000000000135,1.7
O=C(COC(=O)CCC(=O)c1cccs1)Nc1cccc(F)c1,-7.736,-7.553,0.18299999999999983,3.3,-7.878,-8.029,0.1509999999999998,3.4
NCCCN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC1CC1,-7.038,-7.65,0.6120000000000001,13.2,-8.021,-8.462,0.44099999999999895,13.0
CC(=O)c1c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)nn(CCN)c1=O,-6.568,-6.526,0.041999999999999815,4.1,-7.232,-7.194,0.038000000000000256,3.8
O=C1OCc2cc(-c3ccc(-c4cccc(O)c4)s3)ccc21,-8.956,-8.99,0.034000000000000696,1.8,-7.889,-7.902,0.0129999999999999,1.9
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(S(C)(=O)=O)cc3)c2)cc1,-8.382,-8.759,0.37700000000000067,3.1,-7.172,-7.163,0.008999999999999453,2.4
NC(=O)c1ccc(O)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,-9.51,-9.482,0.02800000000000047,2.8,-9.014,-8.961,0.05299999999999905,3.0
