iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,22,0.15347962130780934,23.5,14.0
2,50,23,0.1904207370937158,23.0,14.0
3,55,28,0.20226449990899864,22.5,14.0
4,60,33,0.2071885222078479,23.0,14.0
5,65,35,0.248911826784101,23.0,14.0
6,70,36,0.2597757906294181,23.0,14.0
7,75,40,0.26703922318849876,23.0,14.0
8,80,45,0.27092715446306964,23.0,14.0
9,85,50,0.30382863459802406,23.0,14.0
10,90,54,0.3040749307147625,22.5,14.0
11,95,59,0.30927620938619477,22.0,14.0
12,100,62,0.3244812603268759,22.5,14.0
13,105,66,0.3255697365600233,22.5,14.0
14,110,71,0.32817628318193504,22.0,14.0
15,115,76,0.3297100689717254,22.5,14.0
16,120,80,0.33398422593357713,23.0,14.0
17,125,82,0.3384320253480007,23.0,14.0
18,130,84,0.34562575061295336,23.0,14.0
19,135,87,0.3458529805938788,23.0,14.0
20,140,91,0.34587787494168604,23.0,14.0
21,145,95,0.3470550882514839,23.0,14.0
22,150,98,0.3471552462497042,23.0,14.0
23,155,100,0.34787472336556213,23.0,14.0
24,160,100,0.38365447084552196,23.0,14.0
25,165,102,0.3855164222821677,23.0,14.0
26,170,104,0.3855208046646102,23.0,14.0
27,175,108,0.3869314240411957,23.0,14.0
28,180,111,0.3877067133932157,23.0,14.0
29,185,115,0.38856826459348176,22.0,14.0
30,190,117,0.3886040273171493,22.0,14.0
31,195,118,0.3888665743058452,22.5,14.0
32,200,122,0.3889858381484956,22.0,14.0
33,205,125,0.3946754545292352,22.0,14.0
34,210,129,0.394849738497135,22.0,14.0
35,215,131,0.3950767147577024,23.0,14.0
36,220,136,0.3951906052729206,22.5,14.0
37,225,138,0.3952328369956224,22.5,14.0
38,230,140,0.39720797853298795,22.0,14.0
39,235,145,0.39729753415053015,22.0,14.0
40,240,149,0.40008821686082363,22.0,14.0
41,245,152,0.4001804751653719,22.0,14.0
42,250,157,0.400307184549659,22.0,14.0
43,255,159,0.4003111790037454,22.0,14.0
44,260,162,0.4004580671439619,22.0,14.0
45,265,166,0.4014401763158829,22.0,14.0
46,270,168,0.40145345323539083,22.0,14.0
47,275,172,0.4015870875316224,22.0,14.0
48,280,174,0.4016036272925466,22.0,14.0
49,285,178,0.40202442353844936,21.5,14.0
50,290,179,0.4020266869263651,21.0,14.0
