iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,22,0.15347962130780934,23.5,14.0
2,50,24,0.18928306572548154,23.0,14.0
3,55,28,0.20590357766911144,22.5,14.0
4,60,32,0.21417822656166544,22.5,14.0
5,65,37,0.2158095396787241,23.0,14.0
6,70,39,0.22500418223098365,22.0,14.0
7,75,42,0.22834486985436453,22.5,14.0
8,80,46,0.23037308847916715,22.5,14.0
9,85,47,0.24186033918666222,22.0,14.0
10,90,51,0.24615571108068768,22.0,14.0
11,95,55,0.24786968249266592,22.0,14.0
12,100,57,0.2627422701054803,23.0,14.0
13,105,62,0.26576159126141985,23.0,14.0
14,110,66,0.2683357041639441,23.5,14.0
15,115,71,0.2708090720150516,23.0,14.0
16,120,73,0.29632546303922064,23.0,14.0
17,125,77,0.31052115384108064,23.0,14.0
18,130,80,0.3259614266152198,23.5,14.0
19,135,84,0.32850019702719546,23.5,14.0
20,140,87,0.3285075442649316,24.0,14.0
21,145,91,0.32861677422092117,24.0,14.0
22,150,94,0.34538590891274534,24.0,14.0
23,155,97,0.3470421273637397,24.0,14.0
24,160,100,0.35104685511437017,24.0,14.0
25,165,102,0.3511395542284901,24.0,14.0
26,170,105,0.3511490372564118,24.0,14.0
27,175,110,0.3536002004586608,24.0,14.0
28,180,112,0.3546160422166125,24.0,14.0
29,185,114,0.3580418404778194,24.0,14.0
30,190,117,0.3631614216693245,24.0,14.0
31,195,119,0.36337062460862024,24.0,14.0
32,200,121,0.36498900910613563,24.0,14.0
33,205,123,0.39346902472331113,24.0,14.0
34,210,126,0.395084810708564,24.0,14.0
35,215,130,0.3957947887345948,24.0,14.0
36,220,135,0.3960073765888711,24.0,14.0
37,225,138,0.39710934781963386,24.0,14.0
38,230,141,0.3988512106582494,24.0,14.0
39,235,145,0.39900879273796364,24.0,14.0
40,240,148,0.39916449647698615,24.0,14.0
41,245,150,0.3993637903515238,23.5,14.0
42,250,153,0.3996752977949395,23.0,14.0
43,255,157,0.4010354566314168,23.0,14.0
44,260,160,0.40108018192350725,23.5,14.0
45,265,160,0.40108018192350725,23.5,14.0
46,270,163,0.40140813566317923,23.0,14.0
47,275,165,0.4014376558497485,23.0,14.0
48,280,166,0.4017431654457883,23.5,14.0
49,285,167,0.4017877577476286,23.0,14.0
50,290,168,0.40181522718212176,23.0,14.0
