iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,23,0.16778962691968946,23.0,17.0
2,50,28,0.2057936384822607,23.5,17.0
3,55,28,0.22791119654396833,24.0,17.0
4,60,33,0.25083113528912326,25.0,17.0
5,65,37,0.25572929900754265,24.0,17.0
6,70,38,0.27369581654043595,24.0,17.0
7,75,43,0.2798045906495908,24.0,14.0
8,80,48,0.28240606786430555,24.0,14.0
9,85,53,0.30277719924402074,24.0,14.0
10,90,57,0.3041147943753132,23.0,14.0
11,95,62,0.3058185967963277,22.5,14.0
12,100,65,0.3071031727113741,22.0,14.0
13,105,68,0.31258550663476486,22.5,14.0
14,110,73,0.31326845004082404,22.0,14.0
15,115,77,0.3140012499388956,22.0,14.0
16,120,82,0.3304992046630754,22.0,14.0
17,125,87,0.33223380363988875,22.0,14.0
18,130,92,0.3331191668307214,22.0,14.0
19,135,97,0.33348962051413755,22.0,14.0
20,140,97,0.37963689848124266,22.0,14.0
21,145,102,0.3801898636099526,21.5,14.0
22,150,107,0.38088337412554385,21.0,14.0
23,155,112,0.38191885871204534,21.0,14.0
24,160,115,0.38218493913419954,21.0,14.0
25,165,117,0.38545064456112793,21.0,14.0
26,170,120,0.38568092418286587,21.0,14.0
27,175,124,0.3860992579345533,21.0,14.0
28,180,127,0.38625346180368164,21.0,14.0
29,185,129,0.3863257348540468,21.0,14.0
30,190,132,0.38664940473322035,21.0,14.0
31,195,136,0.3867983996864457,21.0,14.0
32,200,140,0.38875997096385834,22.0,14.0
33,205,142,0.3889463191065511,22.0,14.0
34,210,145,0.39044893486839194,22.0,14.0
35,215,149,0.39096548991275704,22.0,14.0
36,220,151,0.3928629888845104,22.0,14.0
37,225,153,0.3930542436016343,22.0,14.0
38,230,157,0.39334035375677584,21.0,14.0
39,235,160,0.3935131646190523,21.0,14.0
40,240,161,0.39353629760517933,21.0,14.0
41,245,163,0.3935493524557116,21.0,14.0
42,250,164,0.3950115446177943,21.0,14.0
43,255,167,0.39501797427774393,21.0,14.0
44,260,168,0.395018913870792,21.0,14.0
45,265,168,0.395018913870792,21.0,14.0
46,270,171,0.3982508518996601,22.0,14.0
47,275,173,0.39872671762926437,22.0,14.0
48,280,174,0.3987863150935501,21.5,14.0
49,285,176,0.3988003656914188,22.0,14.0
50,290,177,0.39880089734713375,22.0,14.0
