iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,26,0.14121119755937733,25.0,17.0
2,50,28,0.1800237583462208,24.0,17.0
3,55,31,0.1980174765153214,24.0,17.0
4,60,35,0.21228780059496988,24.0,17.0
5,65,39,0.22271086588460726,24.0,17.0
6,70,44,0.23275158199006976,24.0,15.0
7,75,49,0.235694876167316,24.0,15.0
8,80,50,0.24697782505421662,24.0,15.0
9,85,55,0.25982575978316214,24.0,15.0
10,90,58,0.26555592298335695,24.0,15.0
11,95,62,0.2663121150765851,24.0,15.0
12,100,66,0.26749200220764974,23.5,15.0
13,105,69,0.2730116684084458,23.0,15.0
14,110,71,0.2888843942573166,23.0,15.0
15,115,76,0.2896508645161015,23.0,14.0
16,120,79,0.2990408028149525,22.0,14.0
17,125,83,0.29912750760728446,22.0,14.0
18,130,86,0.30276180385594875,22.0,14.0
19,135,88,0.30282102228575736,22.0,14.0
20,140,92,0.30323931358876827,22.0,14.0
21,145,95,0.31596041082124404,22.0,14.0
22,150,97,0.3185431827132275,22.0,14.0
23,155,101,0.31937144896304953,22.0,14.0
24,160,101,0.33128746351704996,22.0,14.0
25,165,105,0.3317480321391023,22.0,14.0
26,170,108,0.33331272849065197,23.0,14.0
27,175,110,0.33601196650877524,23.0,14.0
28,180,112,0.33634418275654154,23.0,14.0
29,185,113,0.33639428864466986,23.0,14.0
30,190,115,0.3364761216861552,23.0,14.0
31,195,119,0.35028982508470674,23.0,14.0
32,200,122,0.351488889364251,23.0,14.0
33,205,125,0.3526398335325348,23.0,14.0
34,210,127,0.35277262650323227,23.0,14.0
35,215,128,0.35277521852989446,22.5,14.0
36,220,126,0.35873886584849857,22.0,14.0
37,225,127,0.35873886584849857,22.0,14.0
38,230,131,0.3591612188399875,22.0,14.0
39,235,132,0.3591788239979228,22.0,14.0
40,240,133,0.3924692645348163,22.0,14.0
41,245,136,0.3924884589439858,22.5,14.0
42,250,140,0.39258465908015805,23.0,14.0
43,255,142,0.393169784451208,23.0,14.0
44,260,145,0.3966602583066355,23.0,14.0
45,265,150,0.39672285978070543,22.5,14.0
46,270,153,0.39835376973967984,23.0,14.0
47,275,155,0.3983546334652498,23.0,14.0
48,280,157,0.39841047781048683,23.0,14.0
49,285,157,0.39841047781048683,23.0,14.0
50,290,159,0.3984248796107618,23.0,14.0
