rep,frac,n_hd,model,rmse,spearman
0,1.0,225,ICM,1.2029830835589364,0.28735759933314814
0,1.0,225,independent,1.197410504904199,0.29797165879410953
0,0.75,169,ICM,1.307762796900937,0.08652403445401503
0,0.75,169,independent,1.2458077873546052,0.2674631842178383
0,0.5,112,ICM,1.3522076406845278,0.005056960266740762
0,0.5,112,independent,1.3032569087091102,0.054570714087246466
0,0.25,56,ICM,1.3597198393944252,0.09686023895526535
0,0.25,56,independent,1.3620801760321863,0.19427618782995282
0,0.1,22,ICM,1.4461477212030425,0.19488746874131707
0,0.1,22,independent,1.2880008214565588,0.22033898305084748
1,1.0,225,ICM,1.8645915971759361,0.36604612392331215
1,1.0,225,independent,1.8694271103603028,0.3705473742706308
1,0.75,169,ICM,1.9287685179565577,0.30714087246457356
1,0.75,169,independent,2.020720557592826,0.29991664351208674
1,0.5,112,ICM,1.974442078023642,0.3119199777716033
1,0.5,112,independent,2.081499506783486,0.3176437899416505
1,0.25,56,ICM,1.9864572384861612,0.3075854404001112
1,0.25,56,independent,2.128123235270043,0.14993053626007227
1,0.1,22,ICM,2.0112577913850305,0.31908863573214785
1,0.1,22,independent,2.1309537482684124,0.23723256460127817
2,1.0,225,ICM,1.1554763205996914,0.44167824395665467
2,1.0,225,independent,1.1551545281917033,0.43500972492358997
2,0.75,169,ICM,1.1477261565752732,0.44601278132814676
2,0.75,169,independent,1.1602573012608097,0.3928313420394555
2,0.5,112,ICM,1.1295783488091355,0.4425118088357879
2,0.5,112,independent,1.2323368788813416,0.49819394276187834
2,0.25,56,ICM,1.1356798446196112,0.4113920533481523
2,0.25,56,independent,1.2039446969365912,0.30008335648791334
2,0.1,22,ICM,1.1887221343143184,0.32220061128091143
2,0.1,22,independent,1.2865323816472913,0.06101694915254238
3,1.0,225,ICM,1.0408149813535728,0.3275955487333199
3,1.0,225,independent,1.0362229786094104,0.3223718029180642
3,0.75,169,ICM,1.027233268769558,0.30394976315468925
3,0.75,169,independent,1.0395554969173002,0.25343502968588727
3,0.5,112,ICM,1.0867461770067788,0.31495297242512144
3,0.5,112,independent,1.0952189339336988,0.1993914892035881
3,0.25,56,ICM,1.0726901325497902,0.2611872907627826
3,0.25,56,independent,1.017254419500689,0.2159240889912323
3,0.1,22,ICM,1.094681347154026,0.2591867072590676
3,0.1,22,independent,1.0705045749894053,-0.0032509481935367626
4,1.0,225,ICM,1.9041766058634388,0.1478764639829286
4,1.0,225,independent,1.9081948920323926,0.15429500272401403
4,0.75,169,ICM,1.9293626746271855,0.16276969673280645
4,0.75,169,independent,1.9848761368540233,0.166576362566264
4,0.5,112,ICM,1.9926117915511237,0.2503230109023307
4,0.5,112,independent,2.101043233312976,0.2854721516273222
4,0.25,56,ICM,1.9823219411554047,0.29291876800226113
4,0.25,56,independent,2.016482737600565,0.44040622963724513
4,0.1,22,ICM,1.9416128055380308,0.17143889191557116
4,0.1,22,independent,2.154634074334394,0.35296405899570504
