rep,frac,n_hd,model,rmse,spearman
0,1.0,225,ICM,1.202468919129052,0.28902472909141436
0,1.0,225,independent,1.197410504904199,0.29797165879410953
0,0.75,169,ICM,1.3071474372671237,0.0863573214781884
0,0.75,169,independent,1.2458077873546052,0.2674631842178383
0,0.5,112,ICM,1.352818260339922,0.007835509863851071
0,0.5,112,independent,1.3032569087091102,0.054570714087246466
0,0.25,56,ICM,1.3598086378203957,0.09541539316476802
0,0.25,56,independent,1.3620801760321863,0.19427618782995282
0,0.1,22,ICM,1.4474602275988102,0.19021950541817176
0,0.1,22,independent,1.2880008214565588,0.22033898305084748
1,1.0,225,ICM,1.8660093265118127,0.36876910252848016
1,1.0,225,independent,1.8694271103603028,0.3705473742706308
1,0.75,169,ICM,1.9285799122590714,0.3065295915532093
1,0.75,169,independent,2.020720557592826,0.29991664351208674
1,0.5,112,ICM,1.9745868200386831,0.3119199777716033
1,0.5,112,independent,2.081499506783486,0.3176437899416505
1,0.25,56,ICM,1.9863630312977243,0.3075854404001112
1,0.25,56,independent,2.128123235270043,0.14993053626007227
1,0.1,22,ICM,2.0110270550247606,0.31036398999722153
1,0.1,22,independent,2.1309537482684124,0.23723256460127817
2,1.0,225,ICM,1.1522829861148416,0.4364545707140874
2,1.0,225,independent,1.1551545281917033,0.43500972492358997
2,0.75,169,ICM,1.147318053323188,0.447679911086413
2,0.75,169,independent,1.1602573012608097,0.3928313420394555
2,0.5,112,ICM,1.1302165501170371,0.4470686301750487
2,0.5,112,independent,1.2323368788813416,0.49819394276187834
2,0.25,56,ICM,1.1346540062874721,0.4076132258960823
2,0.25,56,independent,1.2039446969365912,0.30008335648791334
2,0.1,22,ICM,1.188739267867081,0.32220061128091143
2,0.1,22,independent,1.2865323816472913,0.06101694915254238
3,1.0,225,ICM,1.0408353317160908,0.32715097462138326
3,1.0,225,independent,1.0362229786094104,0.3223718029180642
3,0.75,169,ICM,1.027957316762421,0.3023381819989189
3,0.75,169,independent,1.0395554969173002,0.25343502968588727
3,0.5,112,ICM,1.0868241411096318,0.31495297242512144
3,0.5,112,independent,1.0952189339336988,0.1993914892035881
3,0.25,56,ICM,1.0744374957496343,0.25310159910193475
3,0.25,56,independent,1.017254419500689,0.2159240889912323
3,0.1,22,ICM,1.0956933313229984,0.26079828841483804
3,0.1,22,independent,1.0705045749894053,-0.0032509481935367626
4,1.0,225,ICM,1.9032990893563086,0.14937690161071482
4,1.0,225,independent,1.9081948920323926,0.15429500272401403
4,0.75,169,ICM,1.9289006917061575,0.16276969673280645
4,0.75,169,independent,1.9848761368540233,0.166576362566264
4,0.5,112,ICM,1.9927878206859797,0.2475999944667187
4,0.5,112,independent,2.101043233312976,0.2854721516273222
4,0.25,56,ICM,1.981932261799338,0.29336334211419773
4,0.25,56,independent,2.016482737600565,0.44040622963724513
4,0.1,22,ICM,1.9444621909537936,0.17213353896547215
4,0.1,22,independent,2.154634074334394,0.35296405899570504
5,1.0,225,ICM,1.1152505425758037,0.43000833564879143
5,1.0,225,independent,1.1209134828348915,0.41305918310641854
5,0.75,169,ICM,1.1007277973628515,0.4360655737704919
5,0.75,169,independent,1.1213212741195178,0.46896360100027795
5,0.5,112,ICM,1.1069098692799872,0.41694915254237297
5,0.5,112,independent,1.2032074061278226,0.3010836343428731
5,0.25,56,ICM,1.186449312776458,0.49202556265629355
5,0.25,56,independent,1.2721402697738466,0.33764934704084476
5,0.1,22,ICM,1.116719215454744,0.48213392609058087
5,0.1,22,independent,1.2890216818225595,0.2397888302306197
6,1.0,225,ICM,1.110953275210753,0.4619189198482176
6,1.0,225,independent,1.1117027409047748,0.46967128863055957
6,0.75,169,ICM,1.135204477605704,0.502542443718411
6,0.75,169,independent,1.1720508708749913,0.43316013242985224
6,0.5,112,ICM,1.1304649976677308,0.47628442042338176
6,0.5,112,independent,1.1648606955362169,0.43924532512997017
6,0.25,56,ICM,1.1907753353588346,0.4584734226116212
6,0.25,56,independent,1.2940713681089648,0.2513267943952796
6,0.1,22,ICM,1.1966731973961982,0.3531634667511336
6,0.1,22,independent,1.3149720856744134,0.22629136689388135
7,1.0,225,ICM,1.0988324763100072,0.5084745762711865
7,1.0,225,independent,1.0978260776787647,0.5104195609891637
7,0.75,169,ICM,1.1311486204055592,0.44868018894137274
7,0.75,169,independent,1.0994433699207793,0.5182550708530148
7,0.5,112,ICM,1.1457183008153513,0.45029174770769664
7,0.5,112,independent,1.183212867247388,0.3695470964156711
7,0.25,56,ICM,1.2682730744196644,0.3478188385662685
7,0.25,56,independent,1.4050447058114826,0.20100027785495975
7,0.1,22,ICM,1.3185669629751857,0.26323978883023064
7,0.1,22,independent,1.5096962626316435,-0.05929424840233399
8,1.0,225,ICM,1.2718364165785443,0.2760766879688803
8,1.0,225,independent,1.2762666623340744,0.25868296749096975
8,0.75,169,ICM,1.2450447119218437,0.33181439288691306
8,0.75,169,independent,1.256022892766221,0.29991664351208674
8,0.5,112,ICM,1.2286059998088525,0.33998332870241743
8,0.5,112,independent,1.3106360860588995,0.2176160044456794
8,0.25,56,ICM,1.294565569169893,0.2918032786885246
8,0.25,56,independent,1.3496950589283365,0.16337871631008616
8,0.1,22,ICM,1.1814424695617902,0.40566824117810507
8,0.1,22,independent,1.3285135817464793,0.1365934981939428
9,1.0,225,ICM,1.2621384637645547,0.3249281040617
9,1.0,225,independent,1.2641868263242328,0.32423345701179895
9,0.75,169,ICM,1.2653125556149003,0.3521582684178199
9,0.75,169,independent,1.2813495318295773,0.30367190433472885
9,0.5,112,ICM,1.3090273661053706,0.2844162881114726
9,0.5,112,independent,1.2919594880549847,0.24229289100547494
9,0.25,56,ICM,1.2515431268977433,0.3503244002060812
9,0.25,56,independent,1.315983148691614,0.2896956056907204
9,0.1,22,ICM,1.309580696704027,0.22556579004385846
9,0.1,22,independent,1.3288474862620263,0.004001167007429861
10,1.0,225,ICM,1.300052402839953,0.31817613473666206
10,1.0,225,independent,1.2985822255546087,0.32751219108733176
10,0.75,169,ICM,1.3359817030172891,0.2473777074107504
10,0.75,169,independent,1.3164960509551735,0.24248739217944726
10,0.5,112,ICM,1.3011259325964226,0.25554675671758637
10,0.5,112,independent,1.3598787954912017,0.1443754428514275
10,0.25,56,ICM,1.2608627811972826,0.3254560358196248
10,0.25,56,independent,1.3131055345004352,0.27655288350659313
10,0.1,22,ICM,1.3554896610952616,0.1774128565447199
10,0.1,22,independent,1.3694284707771456,-0.016032453911715483
11,1.0,225,ICM,1.5065061936937996,0.16407791275888622
11,1.0,225,independent,1.5021890216682436,0.16530050855251724
11,0.75,169,ICM,1.46205037200922,0.20803578879352774
11,0.75,169,independent,1.4197957297701203,0.2528828254053554
11,0.5,112,ICM,1.4296486713982792,0.23862846990233952
11,0.5,112,independent,1.457178243381602,0.14715607552431184
11,0.25,56,ICM,1.4365247066495557,0.3073716970260456
11,0.25,56,independent,1.4176323146228704,0.22248464817280306
11,0.1,22,ICM,1.5380590247786288,0.2652755009498877
11,0.1,22,independent,1.540070460065981,-0.16816249416033524
12,1.0,225,ICM,1.1151798083056665,0.36071632007260035
12,1.0,225,independent,1.1109388031674756,0.36382833885615695
12,0.75,169,ICM,1.1224387707850723,0.3771655622142565
12,0.75,169,independent,1.1597806750370496,0.34785145670843354
12,0.5,112,ICM,1.1014900148787439,0.3265674710994664
12,0.5,112,independent,1.1202653508177807,0.3014212478930495
12,0.25,56,ICM,1.138557488673909,0.27166256827528995
12,0.25,56,independent,1.2267328892373808,0.20225343504918028
12,0.1,22,ICM,1.373935071106741,0.30250489729089514
12,0.1,22,independent,1.5191895895283405,0.10780922214463794
13,1.0,225,ICM,1.3102539668357167,0.5860598230604905
13,1.0,225,independent,1.314976415382471,0.5859208936505104
13,0.75,169,ICM,1.328343925310644,0.558329512828442
13,0.75,169,independent,1.3330468809174674,0.5497158894096693
13,0.5,112,ICM,1.3321451706769027,0.6176801567719848
13,0.5,112,independent,1.4679785601947033,0.5084260687635528
13,0.25,56,ICM,1.3740511117293153,0.44176773785505113
13,0.25,56,independent,1.5963321865883795,0.2772753164384902
13,0.1,22,ICM,1.4196857321733247,0.539935258947063
13,0.1,22,independent,1.6274184496352033,0.2015865738812753
14,1.0,225,ICM,1.216860784660584,0.40956390062163994
14,1.0,225,independent,1.2200709293054457,0.40803567711185773
14,0.75,169,ICM,1.2627153088694079,0.3516859084238872
14,0.75,169,independent,1.2233735577439606,0.4057016630241903
14,0.5,112,ICM,1.258785800339383,0.29314105505822946
14,0.5,112,independent,1.3641884436153733,0.26657775187001453
14,0.25,56,ICM,1.3112609699930713,0.25785298492325776
14,0.25,56,independent,1.3766103490642954,0.1591297461913251
14,0.1,22,ICM,1.3873713112590382,0.10530849276499427
14,0.1,22,independent,1.3911881129441053,0.05170952639463175
15,1.0,225,ICM,1.90679057862331,0.4376337215838202
15,1.0,225,independent,1.9107684090763501,0.4483870073141655
15,0.75,169,ICM,1.9883639587246038,0.39564867057981046
15,0.75,169,independent,2.075497073662726,0.3183750591687246
15,0.5,112,ICM,1.9895686007660658,0.4229069995241742
15,0.5,112,independent,2.118727870984214,0.42471310694658354
15,0.25,56,ICM,2.007875701512802,0.4084303538768618
15,0.25,56,independent,2.0950357328272626,0.3109839118708645
15,0.1,22,ICM,2.1221450059605806,0.4175998223290942
