F,seed,hv,molecules,calls,hdhfr_labels,both,physical,top20_SI,best_pf
1.0,0,0.3962918568802018,290,564,282,282,255,2.15395,-11.1
1.0,1,0.3702940446016428,290,558,279,279,249,2.3001499999999995,-11.38
1.0,2,0.4012052889064209,290,560,280,280,250,3.0149999999999997,-11.17
1.0,3,0.3999738114870068,290,564,282,282,256,2.6313,-11.23
1.0,4,0.4016722190865921,290,552,276,276,248,2.64605,-11.1
1.0,5,0.3991280596164362,290,558,279,279,250,2.552799999999999,-11.23
0.75,0,0.3935351105494918,330,568,246,246,220,2.3447999999999993,-11.1
0.75,1,0.35798633850921,330,554,235,235,214,2.5329999999999995,-11.23
0.75,2,0.3629908630975755,330,555,234,234,211,2.611699999999999,-11.17
0.75,3,0.3627144944636965,330,561,240,240,216,2.18785,-11.12
0.75,4,0.3908176403820959,330,559,241,241,218,2.7334499999999995,-11.1
0.75,5,0.3910632869506696,330,556,239,239,221,2.56055,-11.23
0.5,0,0.3305702623749012,385,562,186,186,167,2.2025,-11.08
0.5,1,0.3352722598260143,385,556,178,178,160,2.1886,-10.92
0.5,2,0.3337269380413215,385,552,181,181,163,2.1121999999999996,-11.12
0.5,3,0.3866990651000059,385,565,191,191,168,2.4826999999999995,-11.1
0.5,4,0.3774145368768822,385,552,179,179,156,2.2626999999999997,-11.1
0.5,5,0.3617490462474886,385,553,181,181,167,1.9041499999999996,-11.1
0.25,0,0.2878382870993268,465,553,100,100,90,1.4846999999999997,-10.92
0.25,1,0.2780929062806086,465,553,100,100,89,1.31795,-10.34
0.25,2,0.2947706628158366,465,558,109,109,98,1.49815,-11.13
0.25,3,0.3020560605450449,465,556,104,104,91,1.25205,-11.12
0.25,4,0.331995769751027,465,572,119,119,102,1.8518000000000003,-11.1
0.25,5,0.3391976893526031,465,549,100,100,93,1.8384999999999994,-11.17
