F,seed,n_train,n_both,physical,mean_SI,best_SI,best_pf
1.0,0,290,282,18,1.0664444444444448,4.24,-9.875
1.0,1,290,279,15,0.8390666666666664,4.24,-10.36
1.0,2,290,280,18,2.2027222222222225,7.477,-9.983
1.0,3,290,282,18,0.8515555555555556,4.24,-9.66
1.0,4,290,276,18,0.9327222222222223,4.24,-11.38
1.0,5,290,279,18,1.2268333333333332,4.24,-9.995
0.75,0,330,246,19,0.9278421052631579,4.24,-9.965
0.75,1,330,235,11,0.8036363636363638,4.24,-9.707
0.75,2,330,234,18,1.4422222222222223,7.477,-10.36
0.75,3,330,240,15,0.9168,5.925,-9.824
0.75,4,330,241,15,1.3284666666666665,5.925,-10.46
0.75,5,330,239,16,1.1965625,5.004,-10.43
0.5,0,385,186,16,1.1490624999999999,4.27,-10.55
0.5,1,385,178,15,0.5960666666666665,5.705,-10.04
0.5,2,385,181,17,1.4960588235294117,7.477,-10.36
0.5,3,385,191,17,1.1826470588235292,4.832999999999999,-9.602
0.5,4,385,179,15,1.0654000000000001,5.925,-11.38
0.5,5,385,181,18,0.9050000000000001,2.588,-10.1
0.25,0,465,100,15,0.9544000000000001,2.6929999999999996,-10.12
0.25,1,465,100,18,0.5538333333333332,5.119999999999999,-10.7
0.25,2,465,109,19,1.3509999999999998,7.477,-9.554
0.25,3,465,104,19,0.8214210526315789,4.24,-9.67
0.25,4,465,119,19,0.07915789473684218,2.7760000000000007,-10.1
0.25,5,465,100,17,0.6962941176470591,3.6019999999999994,-10.1
