seed,icm_final,icm_auc,icm_n@0.3,icm_n@0.34,icm_n@0.36,icm_n@0.38,ind_final,ind_auc,ind_n@0.3,ind_n@0.34,ind_n@0.36,ind_n@0.38
0,0.4020266869263651,0.3502978620488652,85.0,130.0,160.0,160.0,0.4018152271821217,0.3305133672847202,125.0,150.0,190.0,205.0
1,0.4018965393450979,0.34648712571245044,90.0,145.0,170.0,170.0,0.4013450258249936,0.3384630512156157,105.0,135.0,200.0,200.0
2,0.3988008973471337,0.35204404584580296,85.0,140.0,140.0,145.0,0.4008223083387213,0.33465771289118335,135.0,155.0,195.0,195.0
3,0.4016058091816047,0.33478742124967525,120.0,185.0,195.0,220.0,0.4001785997605429,0.3368529667059738,105.0,180.0,215.0,225.0
4,0.4030586906255589,0.3334507617627451,125.0,175.0,190.0,190.0,0.4020001617377233,0.3341071270388314,125.0,140.0,180.0,190.0
5,0.398771988974816,0.3278213981815293,90.0,135.0,240.0,290.0,0.4003108641736587,0.34721686295942356,110.0,120.0,120.0,170.0
6,0.4027619554661059,0.3240380919913601,105.0,190.0,235.0,275.0,0.405159468368954,0.34145234565081606,80.0,150.0,205.0,230.0
7,0.3995468948162677,0.3499609690733807,90.0,155.0,165.0,165.0,0.393352169638258,0.3278315233119847,140.0,185.0,185.0,225.0
8,0.3940711710162495,0.3458771358260343,110.0,130.0,130.0,140.0,0.4002862719872128,0.3489636830679592,105.0,110.0,115.0,180.0
9,0.3702353224168379,0.3179871576710438,130.0,180.0,225.0,,0.3984248796107618,0.31969110282115354,130.0,195.0,240.0,240.0
