iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,23,0.16477820140421934,24.0,15.0
2,50,24,0.19307814741415644,23.5,15.0
3,55,29,0.2159290523411862,24.0,15.0
4,60,33,0.2197758147890872,24.0,15.0
5,65,38,0.23209622264512042,23.5,15.0
6,70,38,0.23987467992172185,23.0,15.0
7,75,42,0.24769398775783338,23.0,15.0
8,80,47,0.253599046265114,23.0,15.0
9,85,51,0.2550062747218633,22.0,15.0
10,90,54,0.263115007341831,22.5,15.0
11,95,55,0.29158782424149277,23.0,15.0
12,100,59,0.29251603543775956,24.0,15.0
13,105,62,0.2939718891630212,23.5,15.0
14,110,65,0.29495577460983174,23.0,15.0
15,115,70,0.2989464607654668,23.0,15.0
16,120,73,0.2995692411598452,23.0,15.0
17,125,78,0.30238294017571643,23.5,15.0
18,130,79,0.3223249238479232,24.0,15.0
19,135,82,0.33007372187527045,23.5,15.0
20,140,87,0.33665678298307894,23.0,15.0
21,145,90,0.33988534147222077,23.0,15.0
22,150,91,0.3831933778631791,23.0,15.0
23,155,94,0.38368696879343334,23.0,15.0
24,160,97,0.3839814166474096,23.0,15.0
25,165,100,0.3840275630961775,22.5,15.0
26,170,102,0.3846326098803591,22.0,15.0
27,175,104,0.3848443137238719,21.5,15.0
28,180,109,0.3853291257009205,21.0,14.0
29,185,112,0.38588010748226853,21.0,14.0
30,190,116,0.38596403731392354,21.0,14.0
31,195,121,0.3921019511020834,21.0,14.0
32,200,122,0.39210547923480776,21.0,14.0
33,205,125,0.392441770683914,22.0,14.0
34,210,126,0.39247441392498217,21.5,14.0
35,215,130,0.392685973109564,21.0,14.0
36,220,133,0.39309103521614835,21.0,14.0
37,225,134,0.39315779867294376,21.0,14.0
38,230,135,0.39320766756884284,21.0,14.0
39,235,137,0.39365381215199985,21.0,14.0
40,240,139,0.39552501522070105,22.0,14.0
41,245,141,0.395551148059047,22.0,14.0
42,250,143,0.39556656672090207,22.0,14.0
43,255,145,0.3957162129083617,22.0,14.0
44,260,147,0.39588088092124085,22.0,14.0
45,265,147,0.39588088092124085,22.0,14.0
46,270,150,0.39803188953755203,22.0,14.0
47,275,152,0.3980510196706403,22.0,14.0
48,280,154,0.3980772167870418,22.0,14.0
49,285,159,0.3981571972531889,22.0,14.0
50,290,160,0.3981841500387131,22.0,14.0
