iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,28,0.1684995562997727,24.0,15.0
2,50,27,0.19079136417609605,24.0,15.0
3,55,29,0.19874164160356936,24.0,15.0
4,60,34,0.2100611512775579,23.5,15.0
5,65,37,0.22746640984543406,23.0,15.0
6,70,40,0.24085007659203062,23.0,15.0
7,75,44,0.24246632769942839,22.5,14.0
8,80,45,0.24996703237495052,23.0,14.0
9,85,49,0.25546567896235406,23.0,14.0
10,90,54,0.26182676320759335,23.0,14.0
11,95,58,0.2620382659262654,23.0,14.0
12,100,62,0.2655451175205197,23.0,14.0
13,105,66,0.26929127548100823,23.0,14.0
14,110,70,0.2701096872489149,23.0,14.0
15,115,73,0.2751254379260974,23.0,14.0
16,120,77,0.27617358177047086,23.0,14.0
17,125,79,0.2826494685054732,23.0,14.0
18,130,83,0.28768256541575377,22.0,14.0
19,135,85,0.2887742652571763,22.0,14.0
20,140,89,0.2888498120206592,22.0,14.0
21,145,93,0.28981769815165004,21.0,14.0
22,150,95,0.29321354333402766,21.0,14.0
23,155,97,0.2935850798990751,21.0,14.0
24,160,99,0.29539460287424735,21.0,14.0
25,165,103,0.2985544917294376,22.0,14.0
26,170,107,0.2985637843744976,22.0,14.0
27,175,108,0.29860211738585496,22.0,14.0
28,180,112,0.2997123316506376,22.0,14.0
29,185,114,0.30045680883067005,22.5,14.0
30,190,117,0.30083062804039584,22.0,14.0
31,195,121,0.3269152482249451,22.0,14.0
32,200,125,0.3271895900947662,22.0,14.0
33,205,127,0.32720461022120634,22.0,14.0
34,210,129,0.32724282085531003,22.0,14.0
35,215,130,0.3366383684826045,22.0,14.0
36,220,131,0.3392186472935151,22.0,14.0
37,225,136,0.34578857955128367,22.5,14.0
38,230,138,0.34645691497460807,23.0,14.0
39,235,137,0.3514582193660927,23.0,14.0
40,240,137,0.39368615519790295,23.0,14.0
41,245,142,0.3939736682958098,23.0,14.0
42,250,145,0.39409107974941815,23.0,14.0
43,255,148,0.3943832614874077,23.0,14.0
44,260,152,0.39472326214930775,23.0,14.0
45,265,155,0.395292899563634,23.0,14.0
46,270,157,0.39533643219043085,23.0,14.0
47,275,159,0.3954000370422252,23.0,14.0
48,280,164,0.395446848413711,22.5,14.0
49,285,167,0.395621425337246,22.0,14.0
50,290,170,0.3956738059859822,22.0,14.0
