iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,8,0.07169944611728724,27.5,17.0
2,50,8,0.13322628150337476,22.5,15.0
3,55,11,0.14789170724559342,23.0,15.0
4,60,11,0.14789170724559342,23.0,15.0
5,65,12,0.15065345393489304,22.5,15.0
6,70,12,0.15065345393489304,22.5,15.0
7,75,13,0.16096266599248238,20.0,15.0
8,80,14,0.17654943630253572,20.0,15.0
9,85,15,0.18048058704201145,20.0,15.0
10,90,19,0.2330460540445194,21.0,15.0
11,95,19,0.2330460540445194,21.0,15.0
12,100,20,0.23473851169168541,20.5,15.0
13,105,21,0.23473851169168541,21.0,15.0
14,110,21,0.23473851169168541,21.0,15.0
15,115,21,0.23473851169168541,21.0,15.0
16,120,24,0.23669331612347339,20.0,15.0
17,125,25,0.23798246236261045,20.0,15.0
18,130,27,0.23823851991841127,21.0,15.0
19,135,27,0.23823851991841127,21.0,15.0
20,140,28,0.23823851991841127,21.0,15.0
21,145,29,0.23830195461797424,21.0,15.0
22,150,30,0.23953678882385881,21.0,15.0
23,155,31,0.262613596110844,21.0,15.0
24,160,31,0.262613596110844,21.0,15.0
25,165,31,0.262613596110844,21.0,15.0
26,170,33,0.26311331207284056,21.0,15.0
27,175,33,0.26311331207284056,21.0,15.0
28,180,33,0.26311331207284056,21.0,15.0
29,185,35,0.263198752658707,21.0,15.0
30,190,36,0.26352125641676616,21.0,15.0
31,195,36,0.26352125641676616,21.0,15.0
32,200,37,0.26500047032387264,21.0,15.0
33,205,37,0.26500047032387264,21.0,15.0
34,210,38,0.2658144665403431,21.0,15.0
35,215,39,0.2658482924526132,21.0,15.0
36,220,40,0.2663037514638217,21.0,15.0
37,225,42,0.2673430372799335,21.0,15.0
38,230,43,0.26753438083595255,21.0,15.0
39,235,46,0.27040365344185535,23.0,15.0
40,240,46,0.27040365344185535,23.0,15.0
41,245,46,0.27040365344185535,23.0,15.0
42,250,48,0.2704671474116019,23.5,15.0
43,255,48,0.2704671474116019,23.5,15.0
44,260,49,0.270552023532704,23.0,15.0
45,265,49,0.270552023532704,23.0,15.0
46,270,50,0.27055741358553126,22.5,15.0
47,275,50,0.27055741358553126,22.5,15.0
48,280,50,0.27055741358553126,22.5,15.0
49,285,51,0.2706412543821344,23.0,15.0
50,290,52,0.2707146936032565,22.5,15.0
51,295,54,0.2707608758103584,22.0,15.0
52,300,54,0.2707608758103584,22.0,15.0
53,305,57,0.2743625246596463,22.0,15.0
54,310,59,0.2791088674164392,22.0,15.0
55,315,57,0.28761876311644174,22.0,15.0
56,320,58,0.2878674906619761,22.0,15.0
57,325,59,0.2882223085600821,22.0,15.0
58,330,59,0.2882223085600821,22.0,15.0
59,335,59,0.2882223085600821,22.0,15.0
60,340,59,0.2882223085600821,22.0,15.0
61,345,60,0.28825898241918935,22.0,15.0
62,350,61,0.2883144172765126,22.0,15.0
63,355,61,0.2883144172765126,22.0,15.0
64,360,62,0.2883338762417787,22.5,15.0
65,365,62,0.2883338762417787,22.5,15.0
66,370,63,0.28926422766901333,23.0,15.0
67,375,63,0.28926422766901333,23.0,15.0
68,380,63,0.28926422766901333,23.0,15.0
69,385,64,0.2892642276690134,23.0,15.0
70,390,66,0.2898633863190929,22.5,15.0
71,395,66,0.2898633863190929,22.5,15.0
72,400,66,0.2898633863190929,22.5,15.0
73,405,68,0.29071108287438924,23.0,15.0
74,410,69,0.2909286437776771,23.0,15.0
75,415,70,0.2909424762815975,23.0,15.0
76,420,72,0.2909720000851016,23.0,15.0
77,425,73,0.2910126193706013,23.0,15.0
78,430,73,0.2910126193706013,23.0,15.0
79,435,75,0.2945728738731557,23.0,15.0
80,440,75,0.29464388698497274,23.0,15.0
81,445,75,0.29464388698497274,23.0,15.0
82,450,75,0.29464388698497274,23.0,15.0
83,455,76,0.2947018831245853,23.0,15.0
84,460,77,0.29476266624424186,23.0,15.0
85,465,78,0.29477066281583664,23.5,15.0
