SMILES,pred_SI,PfDHFR,hDHFR,SI,physical
Cn1cc(C2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,3.557630989978236,-9.079,-1.602,7.477,True
CC(C)n1nc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)oc1=O,2.8332940601882797,-7.191,-1.005,6.186,True
N#Cc1ccc2c(c1)CN(C(=O)Nc1ccc(-c3c[nH]c(=O)c4ccccc34)cc1)C2,2.282244695122202,-8.569,-6.649,1.9200000000000008,True
CCOC(=O)COc1ccc2c(=O)c(-c3ccccc3)coc2c1,2.1943296758402653,-8.266,-8.076,0.1899999999999995,True
COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,2.194191570147183,-8.295,-8.414,-0.11899999999999977,True
COc1cc2sc3ccc(C#Cc4ccccn4)cc3c(=O)c2cc1OC,2.1782256433766065,-7.058,-2.818,4.24,True
Cc1ccc(-n2nc(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)c3c2-c2ccccc2S(=O)(=O)N3C)cc1C,2.104936099384588,0.2524,0.2586,0.006199999999999983,False
COc1ccc(/C=N/NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2)c(OC)c1OC,2.0595422549180853,-7.698,-5.737,1.9610000000000003,True
CNC(C)C(=O)Nc1cc(-c2c(OC)ccc3nccnc23)cc(NC(=O)c2ccc(Cl)cn2)n1,2.0313247054565124,-7.118,-5.269,1.8490000000000002,True
CCOc1ccc(/C=N/NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2)cc1,2.0126092671220874,-7.397,-6.328,1.069,True
COc1ccc2c(=O)c(-c3cc(OC)c4c(c3OC)OCO4)coc2c1,1.9348950643303056,-6.907,-6.088,0.819,False
CNC(C)C(=O)Nc1cc(-c2cccc3nc(C)c(C)n23)cc(NC(=O)c2ccc(Cl)cn2)n1,1.915901010115732,-8.677,-5.075,3.6019999999999994,True
Cc1c(-c2ccc(-c3ccc(O)cc3)nc2)[nH]c2ccccc2c1=O,1.9079230684196915,-8.833,-7.197,1.6360000000000001,True
COc1ccc2c3c1O[C@@H]1c4[nH]c5ccccc5c4C[C@H]4[C@@H](C2)N(C)CC[C@]314,1.864963585706903,-8.164,-7.161,1.0030000000000001,True
Cc1c(Cl)c(=O)oc2cc3[nH]c4ccccc4c3cc12,1.808555079986462,-8.937,-9.392,-0.45500000000000007,True
COc1cc2oc3ccc(C#Cc4ccc(N)cc4)cc3c(=O)c2cc1OC,1.784033344594178,-7.472,-3.859,3.6130000000000004,True
COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.7764140800869086,-8.774,-7.603,1.1709999999999994,True
COc1ccc(-c2cc3c(-c4ccccc4)c[nH]c3cn2)cc1,1.7638511458302872,-9.814,-10.19,-0.37599999999999945,True
CC1(C)C(=O)N(c2ccc(C#N)cc2)C(=O)c2ccccc21,1.7619827101851797,-9.983,-8.125,1.8580000000000005,True
COc1cc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc(Br)c1O,1.760859710016348,-8.834,-6.01,2.824,True
