iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,26,0.16180113772224858,25.0,16.0
2,50,26,0.17452233383032834,24.5,15.0
3,55,23,0.19782267366547504,24.0,15.0
4,60,28,0.2116284682566968,24.5,15.0
5,65,29,0.22587968842848197,24.0,15.0
6,70,32,0.24116074255076295,24.0,14.0
7,75,37,0.26307441435770357,24.0,14.0
8,80,40,0.2860519995869886,24.0,14.0
9,85,44,0.28789269340207496,24.0,14.0
10,90,47,0.28945268817763,23.0,14.0
11,95,50,0.29315404005323725,23.0,14.0
12,100,55,0.2955622961967096,23.0,14.0
13,105,59,0.29652619805804104,23.0,14.0
14,110,64,0.298419521558751,23.5,14.0
15,115,67,0.30047437329049476,23.0,14.0
16,120,70,0.30622792406165467,23.0,14.0
17,125,74,0.3071323303592059,23.0,14.0
18,130,76,0.3104958063877676,23.0,14.0
19,135,78,0.3285872010000767,23.0,14.0
20,140,82,0.33291691252760414,23.0,14.0
21,145,86,0.3331708327768358,23.0,14.0
22,150,90,0.33399651275092773,23.0,14.0
23,155,95,0.3385648501370046,22.0,14.0
24,160,100,0.33948059084106275,22.0,14.0
25,165,103,0.34914803732538935,22.0,14.0
26,170,107,0.34922037275199225,23.0,14.0
27,175,110,0.3526680890262429,23.0,14.0
28,180,112,0.35267489759971526,22.5,14.0
29,185,113,0.3527017812682619,22.0,14.0
30,190,116,0.35300807106537,22.5,14.0
31,195,118,0.35305074616989646,22.5,14.0
32,200,120,0.3540483477662838,22.5,14.0
33,205,121,0.35415724248126645,22.0,14.0
34,210,123,0.35416655576916706,22.0,14.0
35,215,126,0.3545314938662045,22.0,14.0
36,220,128,0.361639014238748,22.5,14.0
37,225,132,0.361683271552661,23.0,14.0
38,230,135,0.3625140996635638,23.0,14.0
39,235,138,0.36263116654204436,23.0,14.0
40,240,141,0.3670364509845991,23.0,14.0
41,245,146,0.3672861729249509,22.5,14.0
42,250,148,0.36728698258159326,22.5,14.0
43,255,145,0.3974239341438807,23.0,14.0
44,260,149,0.39743889844618285,22.0,14.0
45,265,152,0.3975019764758321,22.0,14.0
46,270,154,0.39752900339817304,22.0,14.0
47,275,157,0.3977251447427081,23.0,14.0
48,280,159,0.39773207021997675,22.0,14.0
49,285,163,0.39891146406665,22.0,14.0
50,290,167,0.3991280596164362,22.0,14.0
