iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,23,0.13910729269176017,23.0,17.0
2,50,27,0.18069871326168507,23.0,15.0
3,55,25,0.21530784545383289,22.0,15.0
4,60,27,0.21699818380239108,22.0,15.0
5,65,29,0.21895833479844345,22.0,15.0
6,70,29,0.2324837862018749,22.0,15.0
7,75,31,0.2361086830629283,22.0,15.0
8,80,35,0.23753109373747255,21.0,15.0
9,85,38,0.2513618904689637,21.0,14.0
10,90,41,0.2557219132108586,21.0,14.0
11,95,46,0.25696449249358955,21.5,14.0
12,100,51,0.2606311478089879,21.0,14.0
13,105,54,0.2617378990100511,21.0,14.0
14,110,56,0.263727853387109,21.5,14.0
15,115,59,0.2647027607507813,22.0,14.0
16,120,62,0.2656319838490885,22.5,14.0
17,125,64,0.2684668265474934,22.5,14.0
18,130,68,0.26965253357285207,22.5,14.0
19,135,71,0.27060568151401176,22.0,14.0
20,140,74,0.2741377723950863,22.5,14.0
21,145,73,0.2750578467627046,23.0,14.0
22,150,76,0.2751408610332254,23.0,14.0
23,155,79,0.2777431084625533,23.0,14.0
24,160,79,0.2801460596480593,23.0,14.0
25,165,82,0.280302724525343,23.5,14.0
26,170,85,0.307095188947641,23.0,14.0
27,175,89,0.3084374745311565,23.0,14.0
28,180,90,0.3109182021928542,23.0,14.0
29,185,95,0.322569381250547,23.0,14.0
30,190,97,0.33248827968960354,23.0,14.0
31,195,99,0.33462537844520024,23.0,14.0
32,200,102,0.3346316532489069,23.0,14.0
33,205,104,0.33490924925377696,23.0,14.0
34,210,109,0.33971367922312523,23.0,14.0
35,215,109,0.34847640944211444,23.0,14.0
36,220,114,0.3509078517062159,23.0,14.0
37,225,117,0.351588239023309,23.0,14.0
38,230,117,0.35220842981295647,23.0,14.0
39,235,119,0.3526557286993748,23.0,14.0
40,240,119,0.3526557286993748,23.0,14.0
41,245,122,0.3529337366491336,23.0,14.0
42,250,124,0.35495471858267885,23.0,14.0
43,255,126,0.35502708045210274,23.0,14.0
44,260,126,0.35502708045210274,23.0,14.0
45,265,127,0.35503768832999744,23.0,14.0
46,270,125,0.3590942114242538,23.0,14.0
47,275,127,0.35976889868275524,23.0,14.0
48,280,128,0.3601146223713524,23.0,14.0
49,285,130,0.36224275059937733,23.0,14.0
50,290,131,0.3622431637867743,23.0,14.0
51,295,132,0.36248803796048895,23.0,14.0
52,300,135,0.3629336634417428,23.0,14.0
53,305,136,0.3629515567540444,23.0,14.0
54,310,139,0.36295476203020904,23.0,14.0
55,315,139,0.36295476203020904,23.0,14.0
56,320,139,0.36295476203020904,23.0,14.0
57,325,140,0.3629556242498214,23.0,14.0
58,330,141,0.3629908630975755,23.0,14.0
