SMILES,on_front_upper_-5,on_front_upper_-2,on_front_upper_0,on_front_upper_2
CC(OC(=O)c1ccc(O)cc1)C(=O)Nc1cc(C(F)(F)F)ccc1Cl,False,False,False,False
CC(C)Cc1nnc(NC(=O)Cc2cccs2)s1,False,False,False,False
O=C1COc2ccccc2N1CC(O)COc1cccc2[nH]c3ccccc3c12,False,False,False,False
O=C1NC(=S)N/C1=C\c1ccccc1,True,True,True,True
Cn1ccnc1CN1CCN(CCOc2ccccc2C#N)CC1,False,False,False,False
COC(=O)c1c[nH]c2cc(CN3CCN(Cc4ccccc4)CC3)ccc2c1=O,False,False,False,False
COc1ccc(NC2=NC(=O)CS2)c([N+](=O)[O-])c1,False,False,False,False
CC(=O)OCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,True,True,True,True
Cc1cnc(N2CCC(Oc3cc(F)ccc3Cl)CC2)nn1,False,False,False,False
Cn1c(=N)n(CC(=O)c2ccc(C(C)(C)C)cc2)c2ccccc21,False,False,False,False
CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)N(C)Cc1ccc(OC)c(F)c1,False,False,False,False
COc1ccccc1N(CC(=O)NCc1ccccc1)C(=O)CCC(=O)Nc1nccs1,False,False,False,False
COc1ccccc1NC(=O)CSc1nnc(NC(=O)NC2CCCCC2)s1,False,False,False,False
COc1ccc2c(=O)cc(C(C)Br)oc2c1CBr,False,False,False,False
NC(=O)c1ccc(O)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,False,False,False,False
CNC(=O)C1CC(=O)N(CCCc2ccccc2)/C(=N/c2ccccc2)S1,False,False,False,False
O=C(COC(=O)CCC(=O)c1cccs1)Nc1cccc(F)c1,False,False,False,False
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(C(N)=O)CC[C@@H]12,False,False,False,False
C=CCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,False,False,False,False
Cc1cccc(C)c1NC(=O)CN1C(=O)S/C(=C\c2cccn2-c2cccc(C(=O)O)c2)C1=O,False,False,False,False
CO[C@H]1CCC[C@@H](N2CCC(c3ccccc3)CC2)[C@@H]1O,False,False,False,False
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2cc[nH]c(=O)c2c1,False,False,False,False
COc1cccc(C(=O)/N=C2\SSC3=NCCN32)c1,False,False,False,False
