iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,24,0.09252738397468466,25.0,17.0
2,50,29,0.1001577441471649,27.0,17.0
3,55,32,0.10853502784654305,25.0,16.0
4,60,33,0.12128742949412556,25.0,16.0
5,65,35,0.12924580555733667,23.0,14.0
6,70,40,0.13204621073607453,23.5,14.0
7,75,41,0.14687610561806697,23.0,14.0
8,80,45,0.14817061083271793,23.0,14.0
9,85,48,0.15138759891034614,23.0,14.0
10,90,50,0.174006680981492,23.5,14.0
11,95,54,0.17819066491458646,24.0,14.0
12,100,58,0.1831048641248756,23.5,14.0
13,105,61,0.19095899294664237,23.0,14.0
14,110,65,0.19247725087566872,23.0,14.0
15,115,69,0.1928491418827116,23.0,14.0
16,120,71,0.1929173965413259,23.0,14.0
17,125,76,0.199196282719035,23.0,14.0
18,130,80,0.20025281634585446,23.0,14.0
19,135,82,0.2004831297631692,23.0,14.0
20,140,84,0.20061982147360832,23.0,14.0
21,145,88,0.20132473692997205,23.0,14.0
22,150,90,0.20146859887605542,23.0,14.0
23,155,95,0.20179778418355843,22.0,14.0
24,160,99,0.2047126621708649,23.0,14.0
25,165,103,0.20526790277756984,23.0,14.0
26,170,104,0.20693969430750714,23.0,14.0
27,175,109,0.2070475392752293,23.0,14.0
28,180,113,0.2072338855363504,23.0,14.0
29,185,117,0.20740114380169444,23.0,14.0
30,190,120,0.20854888982365816,22.5,14.0
31,195,124,0.20874592712529766,22.5,14.0
32,200,127,0.20907341614930997,23.0,14.0
33,205,130,0.20962955445347523,22.5,14.0
34,210,125,0.21375484255236768,22.0,14.0
35,215,129,0.21382909547022827,22.0,14.0
36,220,131,0.2138462786938392,22.0,14.0
37,225,132,0.21384731621660957,21.5,14.0
38,230,135,0.21387791667442302,21.0,14.0
39,235,137,0.2139303156717615,22.0,14.0
40,240,137,0.21403239329356522,22.0,14.0
41,245,140,0.2140495218375837,21.5,14.0
42,250,143,0.21488897412644684,22.0,14.0
43,255,145,0.214890144449892,22.0,14.0
44,260,150,0.214926665223829,21.0,14.0
45,265,153,0.21495624746673336,21.0,14.0
46,270,155,0.2149846417083328,21.0,14.0
47,275,160,0.2151220200032595,21.0,14.0
48,280,165,0.21536755621505313,21.0,14.0
49,285,167,0.2154840475626967,21.0,14.0
50,290,171,0.21548778238159896,21.0,14.0
