labels,smiles,PfDHFR_kcal,hDHFR_kcal,Selectivity_Index_kcal,heavy_atoms,PfDHFR_LE
TierA#1;TierB#5,O=C1Nc2ccccc2[C@]12N1CSC[C@H]1[C@H](c1cccs1)[C@]21Cc2ccccc2C1=O,-2.506,5.694,8.2,31,-0.08083870967741935
TierA#2,Cc1csc([C@H]2[C@@H]3CSCN3[C@@]3(C(=O)Nc4ccccc43)[C@@]23Cc2ccccc2C3=O)c1,-3.417,2.866,6.2829999999999995,32,-0.10678125
TierA#3,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2C[C@H]3C[C@H]3N2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc21)C1CCCCC1,-8.076,-7.204,0.8720000000000008,39,-0.2070769230769231
TierA#4,O=C1Nc2ccccc2[C@@]12C(c1ccc(Cl)cc1)C([N+](=O)[O-])C1CSCN12,-5.132,-3.5,1.6319999999999997,27,-0.19007407407407406
TierA#5,CS(=O)(=O)N1CC2(CCN(C(=O)C(COCc3ccccc3)NCc3cccc([N+](=O)[O-])c3)CC2)c2ccccc21,-7.326,-6.056,1.2699999999999996,41,-0.17868292682926828
TierA#6,CCOc1cc(S(=O)(=O)N2CCCC3(CCCCC3)C2)c(OCC)cc1-n1cnnn1,-8.541,-8.677,-0.13599999999999923,31,-0.2755161290322581
TierA#7,O=C(CC1CCCC1)NNC(=O)c1ccccc1O,-7.844,-8.194,-0.35000000000000053,19,-0.4128421052631579
TierA#8,O=C1N(Cl)C(=O)C(c2ccc(F)cc2)(c2ccc(Cl)cc2)N1Cl,-10.8,-8.604,2.1960000000000015,23,-0.46956521739130436
TierA#9,Nc1cc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)ccc1F,-6.783,-5.943,0.8400000000000007,43,-0.15774418604651164
TierA#10,Cc1ccc2c(c1)[C@]1(C(=O)N2)C(c2ccc(Cl)cc2)C([N+](=O)[O-])C2CSCN21,-5.66,-3.184,2.476,28,-0.20214285714285715
TierA#11,CC(C)N1CCC[C@@]1(C)c1nc2c(C(N)=O)c(F)ccc2[nH]1,-8.372,-8.162,0.20999999999999908,22,-0.3805454545454545
TierA#12,COc1ccc(CNC(=O)COc2ccc(C)nc2[N+](=O)[O-])cc1,-8.477,-8.411,0.06600000000000072,24,-0.35320833333333335
TierB#1;TierC#7,Nc1cccc2c1C(=O)N/C2=C\c1ccccc1Cl,-9.746,-9.054,0.6920000000000002,19,-0.5129473684210527
TierB#2,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2cc(Cl)c(N)cc2F)n1,-8.308,-7.799,0.5089999999999995,26,-0.31953846153846155
TierB#3,Nc1cc(F)cc(/C=C2\NC(=O)c3c(Cl)cccc32)c1,-8.927,-8.754,0.17300000000000004,20,-0.44634999999999997
TierB#4,O=C1N/C(=C\c2cc(F)cc(Cl)c2)c2cccc(Cl)c21,-9.373,-8.775,0.597999999999999,20,-0.46864999999999996
TierB#6,CC(=O)Nc1ccc(NC(=O)c2cc(C)cc3c2-c2ccccc2C3=O)c(N)c1Br,-8.879,-8.384,0.4949999999999992,30,-0.29596666666666666
TierB#7,Nc1ccc(N)c(Sc2ccc(Cl)cc2)n1,-7.537,-7.748,-0.2110000000000003,16,-0.4710625
TierB#8,Nc1c(F)ccnc1Sc1ccc(Cl)cc1,-7.459,-7.782,-0.3230000000000004,16,-0.4661875
TierB#9,CC(=O)Nc1ccc(NC(=O)c2cc(O)cc3c2-c2ccccc2C3=O)c(N)c1Br,-9.38,-8.61,0.7700000000000014,30,-0.3126666666666667
TierB#10,Nc1c(Cl)ccnc1Sc1ccc(Cl)cc1,-7.52,-7.642,-0.12200000000000077,16,-0.47
TierC#1,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2ccc(N)c(F)c2F)n1,-8.396,-9.002,-0.6059999999999999,26,-0.322923076923077
TierC#2,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2ccc(F)cc2)n1,-8.371,-8.205,0.16600000000000037,24,-0.34879166666666667
TierC#3,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2cccc(N)c2F)n1,-8.272,-8.989,-0.7170000000000005,25,-0.33088
TierC#4,Nc1ccc(F)c(C#Cc2nc(Cl)nc(N)c2-c2ccc(Cl)cc2)c1F,-8.786,-8.971,-0.1850000000000005,26,-0.3379230769230769
TierC#5,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2c(Cl)ccc(Br)c2F)n1,-7.591,-7.758,-0.16699999999999982,26,-0.2919615384615385
TierC#6,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2c(F)ccc(F)c2F)n1,-8.173,-7.846,0.32699999999999996,26,-0.31434615384615383
TierC#8,Nc1nc(Br)nc(C#Cc2ccc(F)cc2)c1-c1ccc(Cl)cc1,-8.638,-8.338,0.3000000000000007,24,-0.35991666666666666
TierC#9,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2ccc(N)c(N)c2F)n1,-7.542,-9.498,-1.9559999999999995,26,-0.29007692307692307
TierC#10,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2cc(F)cc(N)c2N)n1,-7.353,-8.796,-1.4429999999999996,26,-0.2828076923076923
REF_pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,-9.183,-8.982,0.2010000000000005,17,-0.5401764705882353
REF_cycloguanil,CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C,-9.11,-9.058,0.0519999999999996,17,-0.5358823529411765
REF_WR99210,CC1(N=C(N=C(N1OCCCOC2=CC(=C(C=C2Cl)Cl)Cl)N)N)C,-8.818,-8.983,-0.16500000000000092,24,-0.36741666666666667
