case,SMILES,PfDHFR_Docking,hDHFR_Docking,hERG_Toxicity_Prob,Caco2_logPapp,Half_Life_hours,PfDHFR_Docking_LE,hDHFR_Docking_LE,Selectivity_Index,Selectivity_Index_LE
baseline-greedy-default,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,-9.991,-7.697,0.1460913270711898,-4.333252429962158,20.82012367248535,-0.3568214285714285,-0.2748928571428571,2.2939999999999996,0.0819285714285714
baseline-greedy-permissive,O=c1c(-c2ccco2)nnc2n1CCN2c1ccc(Cl)cc1,-8.47,-7.686,0.4187330603599548,-4.556051731109619,24.24139404296875,-0.385,-0.3493636363636364,0.7840000000000007,0.0356363636363636
baseline-random,O=C(NC(=O)c1ccc(Cl)cc1)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1,-7.67,-4.448,0.1068550199270248,-4.983348846435547,14.125863075256348,-0.2644827586206896,-0.1533793103448276,3.2219999999999995,0.111103448275862
baseline-single-obj,Nc1nc(N)nc(-c2ccccc2I)n1,-6.968,-6.975,0.0448356606066226,-4.495543956756592,12.833903312683104,-0.4645333333333333,-0.4649999999999999,-0.0069999999999996,-0.0004666666666666
bo-coreg-r1-densify-every1,Nc1cc(F)cc(Cl)c1C#Cc1nc(Cl)nc(N)c1-c1ccc(Cl)cc1,-8.396,-7.349,0.0967137888073921,-4.176534652709961,48.13505554199219,-0.322923076923077,-0.2826538461538461,1.0470000000000006,0.0402692307692308
bo-coreg-r1-densify-every2-cap,C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1C)C(C)(C)C,-8.348,-6.139,0.018663965165615,-4.831820487976074,40.798152923583984,-0.2878620689655172,-0.2116896551724138,2.2090000000000005,0.0761724137931034
bo-coreg-r1-nodensify,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,-9.991,-7.697,0.1460913270711898,-4.333252429962158,20.82012367248535,-0.3568214285714285,-0.2748928571428571,2.2939999999999996,0.0819285714285714
bo-coreg-r2-densify-every1,COc1cc(Cl)c(N2C(=O)/C(=C3/C(=O)Nc4ccc(F)c(N)c43)c3ccccc32)c(N)c1Cl,-10.21,-6.097,0.1325258463621139,-4.551075458526611,47.37995529174805,-0.3093939393939394,-0.1847575757575757,4.113,0.1246363636363636
bo-coreg-r2-densify-every2-cap,C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1C)C(C)(C)C,-8.348,-6.139,0.018663965165615,-4.831820487976074,40.798152923583984,-0.2878620689655172,-0.2116896551724138,2.2090000000000005,0.0761724137931034
bo-coreg-r2-nodensify,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,-9.991,-7.697,0.1460913270711898,-4.333252429962158,20.82012367248535,-0.3568214285714285,-0.2748928571428571,2.2939999999999996,0.0819285714285714
