case,objective,direction,best_value,SMILES
baseline-greedy-default,PfDHFR_Docking,lower is better,-10.01,O=C(c1ccc(O)cc1)C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O
baseline-greedy-default,hDHFR_Docking,higher is better,-5.432,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-greedy-default,hERG_Toxicity_Prob,lower is better,0.0166221335530281,CC1(C)C(=O)OC(c2cccn2-c2ccc([N+](=O)[O-])cc2)C2(CCCCC2)C1=O
baseline-greedy-default,Caco2_logPapp,higher is better,-4.305072784423828,O=C1N/C(=C\c2ccccc2)c2ccccc21
baseline-greedy-default,Half_Life_hours,higher is better,33.25513458251953,Nc1ncnc(C#Cc2ccccc2)c1-c1ccc(Cl)cc1
baseline-greedy-default,Selectivity_Index,higher is better,3.061,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-greedy-default,Selectivity_Index_LE,higher is better,0.0987419354838709,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-greedy-permissive,PfDHFR_Docking,lower is better,-10.03,Cc1ccc(NC(=O)c2[nH]cnc2C(=O)N2CCCCC2)c(C(=O)c2ccccc2)c1
baseline-greedy-permissive,hDHFR_Docking,higher is better,-5.432,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-greedy-permissive,hERG_Toxicity_Prob,lower is better,0.0120491255074739,Cc1ccc(C(=O)NNC(=O)c2ccc(NC(=O)C(C)(C)C)cc2)cc1
baseline-greedy-permissive,Caco2_logPapp,higher is better,-4.359720706939697,CCc1nn(CC(=O)N2CCN(c3cccc(C)c3C)CC2)c(=O)c2cc3occc3n12
baseline-greedy-permissive,Half_Life_hours,higher is better,24.24139404296875,O=c1c(-c2ccco2)nnc2n1CCN2c1ccc(Cl)cc1
baseline-greedy-permissive,Selectivity_Index,higher is better,3.061,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-greedy-permissive,Selectivity_Index_LE,higher is better,0.0987419354838709,Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C
baseline-random,PfDHFR_Docking,lower is better,-10.48,Cc1cc(S(=O)(=O)n2cnc3ccccc32)c(C)cc1Cl
baseline-random,hDHFR_Docking,higher is better,-4.085,COc1ccc(CC2=NN3C(=NN(C(C)=O)C3(C)c3ccc(C)cc3)N(N(C(C)=O)C(C)=O)C2=O)cc1
baseline-random,hERG_Toxicity_Prob,lower is better,0.0206728782504796,N=c1oc2cc(O)ccc2cc1C(N)=O
baseline-random,Caco2_logPapp,higher is better,-4.273344039916992,O=c1c2ccccc2nc(-n2ccnc2)n1-c1ccc(Cl)cc1
baseline-random,Half_Life_hours,higher is better,23.939517974853516,CSCCC(NS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)N(C)CCOc1ccc(Cl)cc1
baseline-random,Selectivity_Index,higher is better,3.2219999999999995,O=C(NC(=O)c1ccc(Cl)cc1)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1
baseline-random,Selectivity_Index_LE,higher is better,0.111103448275862,O=C(NC(=O)c1ccc(Cl)cc1)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1
baseline-single-obj,PfDHFR_Docking,lower is better,-10.9,O=C1CCc2c1c1cccc(F)c1n1c(=O)c3ccccc3n21
baseline-single-obj,hDHFR_Docking,higher is better,-3.75,O=C(N[C@H]1Cc2ccccc2[C@H]1NC(=O)c1ccc(-n2ccccc2=O)cc1)c1ccc2c(Cl)c[nH]c2c1
baseline-single-obj,hERG_Toxicity_Prob,lower is better,0.0448356606066226,Nc1nc(N)nc(-c2ccccc2I)n1
baseline-single-obj,Caco2_logPapp,higher is better,-4.186954975128174,c1ccc(-c2nc3ccccn3c2-c2ccccc2)cc1
baseline-single-obj,Half_Life_hours,higher is better,24.057815551757812,O=c1c2ccccc2oc2cccc(NCCN3CCCCC3)c12
baseline-single-obj,Selectivity_Index,higher is better,4.503,O=C(N[C@H]1Cc2ccccc2[C@H]1NC(=O)c1ccc(-n2ccccc2=O)cc1)c1ccc2c(Cl)c[nH]c2c1
baseline-single-obj,Selectivity_Index_LE,higher is better,0.1185,O=C(N[C@H]1Cc2ccccc2[C@H]1NC(=O)c1ccc(-n2ccccc2=O)cc1)c1ccc2c(Cl)c[nH]c2c1
bo-coreg-r1-densify-every1,PfDHFR_Docking,lower is better,-10.79,C#CC(C(=O)NC(=O)c1cccc2c1-c1ccccc1C2=O)C(C)(C)C
bo-coreg-r1-densify-every1,hDHFR_Docking,higher is better,5.694,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-densify-every1,hERG_Toxicity_Prob,lower is better,0.02254094555974,Nc1ccc(C#Cc2nc(Cl)nc(N)c2-c2ccc(Cl)cc2)c(N)c1N
bo-coreg-r1-densify-every1,Caco2_logPapp,higher is better,-4.064852237701416,CC[C@@H](c1ccccc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O
bo-coreg-r1-densify-every1,Half_Life_hours,higher is better,54.5809211730957,Nc1ccc(Cl)c(N)c1C#Cc1nc(Cl)nc(N)c1-c1ccc(Cl)cc1
bo-coreg-r1-densify-every1,Selectivity_Index,higher is better,8.2,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-densify-every1,Selectivity_Index_LE,higher is better,0.2645161290322581,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-densify-every2-cap,PfDHFR_Docking,lower is better,-10.39,CC[C@@H](c1ccc(Cl)cc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O
bo-coreg-r1-densify-every2-cap,hDHFR_Docking,higher is better,5.694,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-densify-every2-cap,hERG_Toxicity_Prob,lower is better,0.0144687369465827,C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1)C(C)(C)C
bo-coreg-r1-densify-every2-cap,Caco2_logPapp,higher is better,-3.916772365570069,CC[C@@H](c1ccc(Cl)cc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O
bo-coreg-r1-densify-every2-cap,Half_Life_hours,higher is better,50.26958084106445,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C#Cc2ccc(F)cc2)n1
bo-coreg-r1-densify-every2-cap,Selectivity_Index,higher is better,8.2,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-densify-every2-cap,Selectivity_Index_LE,higher is better,0.2645161290322581,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-nodensify,PfDHFR_Docking,lower is better,-11.17,Nc1cccc2c1C1c3ccccc3C2C2C(=O)NC(=O)C12
bo-coreg-r1-nodensify,hDHFR_Docking,higher is better,5.694,O=C1c2ccccc2C[C@]12[C@@H](c1cccs1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccccc21
bo-coreg-r1-nodensify,hERG_Toxicity_Prob,lower is better,0.0120491255074739,Cc1ccc(C(=O)NNC(=O)c2ccc(NC(=O)C(C)(C)C)cc2)cc1
bo-coreg-r1-nodensify,Caco2_logPapp,higher is better,-4.003200054168701,CN1C(=O)/C(=C/c2cccc(/C=C3/C(=O)N(C)c4ccccc43)n2)c2ccccc21
