SMILES,heavy_atoms,PfDHFR_kcal,hDHFR_kcal,Selectivity_Index,Asp54_contacts,Glu30_contacts,PfDHFR_centroid_dist,hDHFR_centroid_dist,PfDHFR_nadph_min,hDHFR_nadph_min,mechanism
COc1cc(Cl)c(N2C(=O)/C(=C3/C(=O)Nc4ccc(F)c(N)c43)c3ccccc32)c(N)c1Cl,33,-10.21,-6.097,4.113,1,0,2.1559416702572274,5.597032798531923,3.3992262354835985,5.693223515724637,RECOGNITION
Nc1cccc2c1C(=O)N/C2=C\c1cc(Cl)ccc1Cl,20,-9.914,-8.505,1.408999999999999,2,3,0.8575441692948915,2.658134009610199,3.2411778723174067,3.1281497726291816,RECOGNITION
CC1(C)C(=O)OC(c2cccn2-c2ccc([N+](=O)[O-])cc2)C2(CCCCC2)C1=O,29,-9.654,-8.174,1.4800000000000004,1,1,1.668666511720419,1.8524603660846304,2.9937843943744498,2.948176385496635,RECOGNITION
O=C1N/C(=C\c2cc(Cl)ccc2Cl)c2c(Cl)cccc21,20,-9.356,-7.971,1.3849999999999998,1,1,1.0534974631159084,1.5326952065652817,3.1881238997253543,2.877060479030636,RECOGNITION
COc1ccc(C)cc1S(=O)(=O)N1CCCC(C(=O)N2CCOCC2)C1,26,-9.3,-6.844,2.4560000000000004,1,0,1.3172455531268543,4.037458141847306,2.8595849349162545,5.6060504813995395,RECOGNITION
COC(=O)[C@@H]1C[C@H](CC(C)C)N(C(=O)c2ccccn2)[C@@]12C(=O)Nc1ccc(Cl)cc12,31,-8.294,-6.419,1.8750000000000009,1,1,2.2263211571238393,3.214417511445437,3.4229538413481433,3.075312992200955,RECOGNITION
O=S1(=O)c2cc(Cl)ccc2NC(=S)c2c[nH]cc21,18,-8.193,-6.478,1.715,1,0,1.4459814568830718,2.720439860624934,3.3711198436128007,2.8362970577850266,RECOGNITION
COC(=O)c1cc(-c2c(C(=O)OC)cc(OC)c3c2OCO3)c2c(c1OC)OCO2,30,-8.143,-6.702,1.4410000000000007,2,1,1.228788011760871,1.5374588324589276,2.920634520100043,3.0055749865874253,RECOGNITION
O=C1CCc2c1c1cccc(F)c1n1c(=O)c3ccccc3n21,23,-10.9,-9.019,1.881,0,0,3.3512726378721003,5.563260417816626,3.1501217436791236,9.268620879073652,SIZE-EXCLUSION
COc1cc(C)c(N2C(=O)/C(=C3/C(=O)Nc4c(F)ccc(N)c43)c3ccccc32)c(Cl)c1,32,-10.81,-6.566,4.244000000000001,0,0,2.5292321901477735,4.366075116662576,3.5661864785790445,4.912487048328983,SIZE-EXCLUSION
COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4cccc(N)c43)c3ccccc32)c(Cl)c1,30,-10.58,-7.786,2.7940000000000005,0,0,2.5034827701873543,5.724219362920974,3.69095177427178,7.412670638845352,SIZE-EXCLUSION
COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4cccc(C)c43)c3ccccc32)cc1,29,-10.49,-8.371,2.119,0,0,2.483032238189144,4.317257690810547,3.485439140194532,4.289961072084455,SIZE-EXCLUSION
COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,28,-9.991,-7.697,2.2939999999999996,0,0,3.182930471562077,4.493993412201007,3.016081895439846,5.133355335450683,SIZE-EXCLUSION
Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCC3)cccc1C2=O,27,-9.88,-8.298,1.5820000000000007,0,0,3.602977978844239,4.196672789471146,3.0007602370066166,3.703637266255974,SIZE-EXCLUSION
O=S(=O)(CC1=NCCO1)c1c(-c2ccccc2)noc1-c1ccccc1,26,-8.563,-7.177,1.386000000000001,0,0,3.990199441065689,6.652410621662072,2.7337627914652725,10.209352868815929,SIZE-EXCLUSION
Cc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1C,31,-8.493,-5.432,3.061,1,0,3.4429100607558616,4.3389390362769085,3.020616162308611,3.689835497688208,SIZE-EXCLUSION
COc1cc(/C=C2\CCCN3C2=NOC3(CO)c2cccc(F)c2)ccc1-n1cnc(C)c1,33,-8.27,-5.831,2.438999999999999,1,0,3.3133248574695133,4.435952901585778,3.415959308891136,3.798223532126564,SIZE-EXCLUSION
O=C(N[C@H]1Cc2ccccc2[C@H]1NC(=O)c1ccc(-n2ccccc2=O)cc1)c1ccc2c(Cl)c[nH]c2c1,38,-8.253,-3.75,4.503,0,0,6.12933323960037,5.012161104909497,3.3475797227250608,3.5461033543877436,SIZE-EXCLUSION
O=C(NC(=O)c1ccc(Cl)cc1)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1,29,-7.67,-4.448,3.2219999999999995,2,0,3.707702913240816,4.508113327706197,3.4634159438334877,4.1343870162334815,SIZE-EXCLUSION
O=C(Nc1nc2c(N3CCOCC3)ccnn2c1-c1ccc(N2CCNCC2)nc1)c1ccc2ccccc2n1,40,-6.448,0.3932,6.841200000000001,0,0,3.524582129664446,4.157542003418187,3.1038050840863054,3.546469371078793,SIZE-EXCLUSION
