id,group,tier,status,exit_code,seconds,log,command
compile-all,compile,full,pass,0,0.1,matrix_results_holo/logs/compile-all.log,(reconstructed from console.log)
compile-streamlit,compile,full,pass,0,0.0,matrix_results_holo/logs/compile-streamlit.log,(reconstructed from console.log)
import-acquisition,import,full,pass,0,1.3,matrix_results_holo/logs/import-acquisition.log,(reconstructed from console.log)
import-admet_oracle,import,full,pass,0,0.5,matrix_results_holo/logs/import-admet_oracle.log,(reconstructed from console.log)
import-densify,import,full,pass,0,0.2,matrix_results_holo/logs/import-densify.log,(reconstructed from console.log)
import-docking,import,full,pass,0,0.8,matrix_results_holo/logs/import-docking.log,(reconstructed from console.log)
import-docking_cache,import,full,pass,0,0.1,matrix_results_holo/logs/import-docking_cache.log,(reconstructed from console.log)
import-evaluation,import,full,pass,0,1.3,matrix_results_holo/logs/import-evaluation.log,(reconstructed from console.log)
import-kernel,import,full,pass,0,0.8,matrix_results_holo/logs/import-kernel.log,(reconstructed from console.log)
import-mogp,import,full,pass,0,1.0,matrix_results_holo/logs/import-mogp.log,(reconstructed from console.log)
import-mogp_coregionalized,import,full,pass,0,1.1,matrix_results_holo/logs/import-mogp_coregionalized.log,(reconstructed from console.log)
import-quality_filter,import,full,pass,0,0.3,matrix_results_holo/logs/import-quality_filter.log,(reconstructed from console.log)
import-utils-featurize,import,full,pass,0,0.2,matrix_results_holo/logs/import-utils-featurize.log,(reconstructed from console.log)
cli-loop,cli,full,pass,0,2.7,matrix_results_holo/logs/cli-loop.log,(reconstructed from console.log)
cli-launch,cli,full,pass,0,2.2,matrix_results_holo/logs/cli-launch.log,(reconstructed from console.log)
cli-data,cli,full,pass,0,1.6,matrix_results_holo/logs/cli-data.log,(reconstructed from console.log)
cli-rebuild-library,cli,full,pass,0,1.5,matrix_results_holo/logs/cli-rebuild-library.log,(reconstructed from console.log)
cli-run-ablation,cli,full,pass,0,2.1,matrix_results_holo/logs/cli-run-ablation.log,(reconstructed from console.log)
cli-run-benchmark-seeds,cli,full,pass,0,2.1,matrix_results_holo/logs/cli-run-benchmark-seeds.log,(reconstructed from console.log)
cli-baseline-random,cli,full,pass,0,2.2,matrix_results_holo/logs/cli-baseline-random.log,(reconstructed from console.log)
cli-baseline-greedy,cli,full,pass,0,2.2,matrix_results_holo/logs/cli-baseline-greedy.log,(reconstructed from console.log)
cli-baseline-single-obj,cli,full,pass,0,2.1,matrix_results_holo/logs/cli-baseline-single-obj.log,(reconstructed from console.log)
cli-validate-docking,cli,full,pass,0,1.5,matrix_results_holo/logs/cli-validate-docking.log,(reconstructed from console.log)
cli-validate-known-actives,cli,full,pass,0,0.4,matrix_results_holo/logs/cli-validate-known-actives.log,(reconstructed from console.log)
cli-train-admet-oracle,cli,full,pass,0,1.4,matrix_results_holo/logs/cli-train-admet-oracle.log,(reconstructed from console.log)
unit-gp,unit,full,pass,0,1.4,matrix_results_holo/logs/unit-gp.log,(reconstructed from console.log)
unit-acquisition,unit,full,pass,0,73.4,matrix_results_holo/logs/unit-acquisition.log,(reconstructed from console.log)
unit-admet-oracle,unit,full,pass,0,0.8,matrix_results_holo/logs/unit-admet-oracle.log,(reconstructed from console.log)
unit-coregionalized,unit,full,pass,0,3.6,matrix_results_holo/logs/unit-coregionalized.log,(reconstructed from console.log)
unit-densify,unit,full,pass,0,12.9,matrix_results_holo/logs/unit-densify.log,(reconstructed from console.log)
unit-evaluation,unit,full,pass,0,2.5,matrix_results_holo/logs/unit-evaluation.log,(reconstructed from console.log)
dryrun-known-actives-nodock,dryrun,full,pass,0,1.6,matrix_results_holo/logs/dryrun-known-actives-nodock.log,(reconstructed from console.log)
bo-independent-nodensify,bo,full,pass,0,1263.1,matrix_results_holo/logs/bo-independent-nodensify.log,(reconstructed from console.log)
bo-independent-densify-every1,bo,full,pass,0,888.8,matrix_results_holo/logs/bo-independent-densify-every1.log,(reconstructed from console.log)
bo-independent-densify-every2-cap,bo,full,pass,0,3258.2,matrix_results_holo/logs/bo-independent-densify-every2-cap.log,(reconstructed from console.log)
bo-coreg-r1-nodensify,bo,full,pass,0,970.3,matrix_results_holo/logs/bo-coreg-r1-nodensify.log,(reconstructed from console.log)
