sweep_status,case,family,final_hypervolume,n_evaluated,pareto_size,best_score,best_SMILES,best_Selectivity_Index,best_Selectivity_Index_LE,best_PfDHFR_Docking,seconds,minutes,status
complete,bo-coreg-r2-densify-every1,MOGP loop,0.6819178297946377,70,43,0.8701383596080717,COc1cc(Cl)c(N2C(=O)/C(=C3/C(=O)Nc4ccc(F)c(N)c43)c3ccccc32)c(N)c1Cl,8.2,0.2645161290322581,-10.81,1162.0,19.366666666666667,pass
complete,bo-coreg-r2-densify-every2-cap,MOGP loop,0.510012426638186,70,38,0.8042130084734513,C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1C)C(C)(C)C,8.2,0.2645161290322581,-10.39,981.8,16.363333333333333,pass
complete,bo-coreg-r1-densify-every2-cap,MOGP loop,0.5083307877549539,70,38,0.8042130084734513,C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1C)C(C)(C)C,8.2,0.2645161290322581,-10.39,979.6,16.326666666666668,pass
complete,bo-coreg-r1-densify-every1,MOGP loop,0.5063190384438139,70,37,0.8011380783850246,Nc1cc(F)cc(Cl)c1C#Cc1nc(Cl)nc(N)c1-c1ccc(Cl)cc1,8.2,0.2645161290322581,-10.79,839.0,13.983333333333333,pass
complete,harness-seeds-densify/mogp/seed_0,harness,0.4583825402075099,70,39,0.7924302629681954,Nc1nc(Cl)nc(C#Cc2ccc(F)cc2)c1-c1ccc(Cl)cc1,8.2,0.2645161290322581,-10.07,935.6,15.593333333333334,pass
complete,bo-independent-densify-every2-cap,MOGP loop,0.4201230114955201,70,40,0.7753184882234387,O=C1N/C(=C\c2ccccc2Cl)c2cccc(Cl)c21,8.2,0.2645161290322581,-10.49,3258.2,54.30333333333333,pass
complete,bo-independent-densify-every1,MOGP loop,0.4168081287292041,70,36,0.7924302629681954,Nc1nc(Cl)nc(C#Cc2ccc(F)cc2)c1-c1ccc(Cl)cc1,8.2,0.2645161290322581,-10.12,888.8,14.813333333333333,pass
complete,harness-seeds-band-sem/mogp/seed_0,harness,0.3925981833395732,70,48,0.7201071147260835,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,8.2,0.2645161290322581,-11.17,1025.3,17.08833333333333,pass
complete,harness-seeds-band-ci95/mogp/seed_0,harness,0.3925981833395732,70,48,0.7201071147260835,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,8.2,0.2645161290322581,-11.17,1021.2,17.02,pass
complete,harness-seeds-band-std/mogp/seed_0,harness,0.3925981833395732,70,48,0.7201071147260835,COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccccc43)c3ccccc32)cc1,8.2,0.2645161290322581,-11.17,2025.4,33.75666666666667,pass
