iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,23,0.0804790393043753,22.0,14.0
2,50,26,0.08062777957818389,21.0,14.0
3,55,31,0.08368487671144617,21.0,14.0
4,60,35,0.08385437344080224,21.0,14.0
5,65,39,0.08519057846292521,21.0,14.0
6,70,40,0.0864101158541859,21.0,14.0
7,75,36,0.09665116580418956,19.0,14.0
8,80,34,0.11515568093895936,21.0,14.0
9,85,37,0.14414087215133548,21.0,14.0
10,90,39,0.148762410781752,22.0,14.0
11,95,43,0.14997736064705114,22.0,14.0
12,100,46,0.15008118812904458,22.0,14.0
13,105,44,0.1525682579577313,23.0,14.0
14,110,47,0.1561198179134929,23.0,14.0
15,115,49,0.15914892926002194,23.0,14.0
16,120,52,0.19675973739060035,23.0,14.0
17,125,55,0.19729523538786137,23.0,14.0
18,130,58,0.19788066343452526,24.0,14.0
19,135,61,0.1979089833174708,24.0,14.0
20,140,44,0.2255184544455478,24.0,14.0
21,145,44,0.2255184544455478,24.0,14.0
22,150,46,0.22558596822351004,24.0,14.0
23,155,49,0.22565223802251275,24.0,14.0
24,160,51,0.24295110115035323,24.0,14.0
25,165,53,0.24385508855835952,24.0,14.0
26,170,55,0.24604027406703013,24.0,14.0
27,175,56,0.24911488108315274,24.5,14.0
28,180,57,0.24955970632300273,25.0,14.0
29,185,58,0.2495980944720083,25.0,14.0
30,190,59,0.25021032565277057,25.0,14.0
31,195,60,0.25050148053702415,25.0,14.0
32,200,62,0.25055089695779825,25.0,14.0
33,205,58,0.2540926704310383,25.0,14.0
34,210,59,0.255954779320725,25.0,14.0
35,215,61,0.2566051321103851,26.0,14.0
36,220,62,0.2568477021035128,26.0,14.0
37,225,63,0.25771061508915183,26.0,14.0
38,230,66,0.25825283859095016,26.0,14.0
39,235,65,0.2591851245273914,26.0,14.0
40,240,66,0.259185136701531,26.0,14.0
41,245,67,0.259267063648484,26.0,14.0
42,250,70,0.26206712317281733,26.0,14.0
43,255,72,0.26244210224512493,26.0,14.0
44,260,75,0.26300508723376576,27.0,14.0
45,265,78,0.26824281970372293,27.0,14.0
46,270,75,0.27078150098720477,27.0,14.0
47,275,76,0.27078150098720477,27.0,14.0
48,280,78,0.2709420793538966,27.0,14.0
49,285,80,0.2710052187651487,27.0,14.0
50,290,82,0.2717418941683219,27.0,14.0
