iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,24,0.11334533492796847,23.0,17.0
2,50,26,0.1313319017023538,23.0,17.0
3,55,29,0.13287775176991043,23.0,17.0
4,60,32,0.1931507663150245,23.0,16.0
5,65,33,0.19966259721702823,25.0,16.0
6,70,35,0.20119477123372,24.0,16.0
7,75,38,0.20151415886971052,24.5,16.0
8,80,42,0.20274430602351062,24.5,16.0
9,85,45,0.20689381204044657,25.0,16.0
10,90,49,0.20704049115810155,24.0,16.0
11,95,51,0.20739712926881498,25.0,16.0
12,100,50,0.21569159117953157,25.5,16.0
13,105,51,0.21589696689084878,25.0,16.0
14,110,54,0.23635794535870602,25.0,16.0
15,115,55,0.237262130961858,25.0,16.0
16,120,54,0.24632134986411705,24.5,16.0
17,125,58,0.24641859670144886,24.5,16.0
18,130,60,0.25599370020106427,24.5,16.0
19,135,60,0.25599370020106427,24.5,16.0
20,140,63,0.2571142113966819,25.0,16.0
21,145,64,0.2581357100724367,25.0,16.0
22,150,65,0.2600042416674663,25.0,16.0
23,155,68,0.260147303162791,25.0,16.0
24,160,71,0.260359260140036,25.0,14.0
25,165,72,0.26036012848934637,25.0,14.0
26,170,73,0.2604351244915536,25.0,14.0
27,175,65,0.2636011602402388,25.0,14.0
28,180,67,0.2636321324247052,25.0,14.0
29,185,70,0.2636383400327209,25.0,14.0
30,190,68,0.2670047346780536,25.0,14.0
31,195,71,0.26821334023687465,25.0,14.0
32,200,71,0.26821334023687465,25.0,14.0
33,205,73,0.27354586795213753,25.0,14.0
34,210,76,0.27376300564495926,25.0,14.0
35,215,78,0.2751811937673385,25.0,14.0
36,220,80,0.27683641985101376,25.0,14.0
37,225,82,0.27707991065302856,25.0,14.0
38,230,84,0.2803822153062494,24.5,14.0
39,235,85,0.28116151449562915,25.0,14.0
40,240,85,0.28120524954442505,25.0,14.0
41,245,88,0.28158640778026456,25.0,14.0
42,250,91,0.2816230279427707,25.0,14.0
43,255,92,0.2816230435983378,25.0,14.0
44,260,91,0.2849509298788203,25.0,14.0
45,265,91,0.2855744623379912,25.0,14.0
46,270,93,0.2939925543558005,24.0,14.0
47,275,94,0.2939926424885077,24.5,14.0
48,280,95,0.29402808513382306,24.0,14.0
49,285,98,0.29443375323773296,24.5,14.0
50,290,100,0.2944595305897718,24.5,14.0
