iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,23,0.15957149938884616,23.0,15.0
2,50,21,0.18114549281851638,22.0,15.0
3,55,26,0.2016024157513684,22.5,15.0
4,60,30,0.20554818262700497,22.5,15.0
5,65,34,0.2103917944144895,21.5,14.0
6,70,39,0.2156393726224711,21.0,14.0
7,75,39,0.2314175329602718,21.0,14.0
8,80,42,0.2417943256075166,21.5,14.0
9,85,45,0.2681696506980249,21.0,14.0
10,90,50,0.27156005498834523,21.5,14.0
11,95,54,0.27252810412484246,21.0,14.0
12,100,58,0.27607042782089974,21.0,14.0
13,105,59,0.2770932403054025,21.0,14.0
14,110,62,0.27740114667931676,21.0,14.0
15,115,67,0.2785351890559598,21.0,14.0
16,120,68,0.2804140552391649,21.0,14.0
17,125,71,0.28711684708919893,21.0,14.0
18,130,76,0.31613082533644266,21.0,14.0
19,135,79,0.32406267097980224,21.0,14.0
20,140,80,0.33283386782572527,21.0,14.0
21,145,85,0.3339952488048722,21.0,14.0
22,150,88,0.3410119043806289,21.0,14.0
23,155,90,0.3413900499776551,21.0,14.0
24,160,92,0.34264043935197525,21.0,14.0
25,165,96,0.3467334734266693,21.0,14.0
26,170,100,0.346816110437707,21.0,14.0
27,175,102,0.3470242196475237,21.0,14.0
28,180,103,0.34850162040461047,21.0,14.0
29,185,105,0.34888668339959283,22.0,14.0
30,190,107,0.35052738755027824,22.0,14.0
31,195,109,0.3519846361069738,22.0,14.0
32,200,112,0.35268573366333555,22.0,14.0
33,205,115,0.35507414355079586,22.0,14.0
34,210,117,0.3551126243853622,22.0,14.0
35,215,121,0.3552977428218544,22.0,14.0
36,220,123,0.3555307890709823,22.0,14.0
37,225,128,0.35579289968099514,22.0,14.0
38,230,133,0.35957441713389504,22.0,14.0
39,235,136,0.3597375288978453,22.0,14.0
40,240,140,0.3599937005609658,22.0,14.0
41,245,140,0.3599937005609658,22.0,14.0
42,250,144,0.3601863786519176,22.0,14.0
43,255,146,0.3605862270955892,22.0,14.0
44,260,149,0.3609122131303518,22.0,14.0
45,265,146,0.39569701700887,21.5,14.0
46,270,149,0.3964959729115288,22.0,14.0
47,275,153,0.3966253117811686,22.0,14.0
48,280,156,0.39664515944896184,22.0,14.0
49,285,161,0.396793816435212,22.0,14.0
50,290,163,0.39684839820298057,22.0,15.0
